Date,Asset,Calibration Date,Damage,Usage
10/26/2016,473-51-1167,6/25/2017,,11/11/2016
4/12/2017,209-28-1998,10/12/2017,,6/15/2017
3/26/2017,865-78-9487,1/24/2018,,6/26/2017
9/2/2016,265-47-7264,5/14/2018,,6/28/2017
12/31/2016,559-35-8182,1/18/2018,,10/14/2016
5/23/2017,340-87-1169,5/30/2018,,8/27/2016
11/15/2016,572-13-3258,3/31/2018,,11/20/2016
3/14/2017,707-81-0862,7/26/2017,,9/18/2016
9/27/2016,590-32-7493,2/23/2018,,3/15/2017
6/12/2017,597-52-5044,11/28/2017,,3/19/2017
2/26/2017,669-56-6565,10/16/2017,,9/27/2016
8/6/2017,663-68-5812,7/3/2018,,11/4/2016
11/19/2016,626-22-7967,1/12/2018,,4/15/2017
8/1/2017,303-91-2148,10/29/2017,,4/28/2017
1/20/2017,289-59-4186,8/14/2017,,5/4/2017
1/2/2017,476-48-6689,8/22/2017,,1/13/2017
12/21/2016,833-80-8886,10/19/2017,,2/3/2017
12/29/2016,779-01-6183,6/28/2017,,8/27/2016
12/21/2016,193-96-1742,7/5/2017,,4/5/2017
3/27/2017,155-83-7507,5/27/2018,,8/23/2017
12/9/2016,199-16-3982,5/7/2018,,7/5/2017
1/18/2017,243-05-7649,4/10/2018,,6/14/2017
7/30/2017,166-15-9242,5/14/2018,,8/7/2017
8/21/2017,267-68-7079,6/16/2018,,3/14/2017
3/26/2017,266-87-8288,7/20/2017,,1/27/2017
10/7/2016,199-24-9007,1/29/2018,,1/15/2017
4/27/2017,613-51-6582,2/15/2018,,10/22/2016
3/12/2017,811-85-4586,7/10/2018,,6/18/2017
3/9/2017,144-06-6772,5/3/2018,,5/26/2017
2/21/2017,434-95-9278,10/10/2017,,4/3/2017
7/16/2017,552-01-7101,7/3/2018,,6/8/2017
1/12/2017,633-74-6893,12/17/2017,,1/11/2017
9/18/2016,100-43-5091,4/18/2018,,3/24/2017
3/22/2017,737-02-8102,8/22/2017,,12/18/2016
11/18/2016,359-91-8601,12/9/2017,,3/26/2017
3/28/2017,859-80-5854,10/17/2017,,10/8/2016
12/9/2016,215-94-2851,12/6/2017,,10/30/2016
3/2/2017,137-95-5910,7/19/2018,,11/6/2016
4/25/2017,178-18-1888,8/3/2017,,10/27/2016
3/25/2017,453-08-7168,9/4/2017,,8/18/2017
6/28/2017,644-59-6976,9/29/2017,,4/25/2017
9/17/2016,410-65-3544,7/24/2017,,11/24/2016
1/27/2017,149-41-0123,7/6/2018,,7/5/2017
5/24/2017,378-97-8463,8/28/2017,,10/30/2016
11/20/2016,539-06-0003,4/1/2018,,12/25/2016
12/26/2016,702-87-5547,1/16/2018,,7/14/2017
11/7/2016,268-26-0025,8/1/2018,,2/25/2017
11/29/2016,310-10-1140,9/4/2017,,5/16/2017
3/4/2017,115-16-6238,7/14/2017,,12/22/2016
10/12/2016,349-18-0932,10/11/2017,,3/30/2017
11/3/2016,726-97-2749,8/22/2018,,1/10/2017
5/10/2017,808-03-6837,12/6/2017,,7/18/2017
1/29/2017,427-74-6228,3/23/2018,,3/13/2017
1/22/2017,364-87-2709,12/2/2017,,10/6/2016
1/10/2017,123-58-9843,10/19/2017,,6/26/2017
9/11/2016,607-31-6041,10/19/2017,,2/20/2017
2/28/2017,346-81-3986,11/17/2017,,8/17/2017
6/10/2017,259-58-2062,11/26/2017,,1/1/2017
5/18/2017,378-25-6609,7/9/2017,,12/1/2016
5/11/2017,354-01-1380,8/4/2018,,3/24/2017
2/27/2017,801-94-9489,1/13/2018,,1/16/2017
6/1/2017,329-88-3122,7/19/2017,,12/20/2016
1/3/2017,286-02-7045,8/12/2017,,5/19/2017
1/6/2017,750-70-6280,1/7/2018,,8/7/2017
10/19/2016,702-63-9265,10/19/2017,,2/10/2017
1/15/2017,270-16-1130,8/14/2017,,10/7/2016
9/8/2016,881-40-7985,9/19/2017,,8/19/2017
6/5/2017,737-50-7680,7/30/2017,,4/14/2017
6/26/2017,189-31-4599,1/25/2018,,5/14/2017
11/18/2016,253-17-8308,6/7/2018,,10/5/2016
1/2/2017,122-30-5978,3/15/2018,,7/25/2017
2/9/2017,160-02-9055,8/19/2017,,8/18/2017
3/17/2017,233-70-5166,12/10/2017,,12/26/2016
1/10/2017,449-75-3410,10/16/2017,,12/16/2016
11/3/2016,604-01-8183,8/11/2017,,12/25/2016
9/29/2016,518-92-6252,7/12/2018,,10/25/2016
2/3/2017,392-45-6785,1/22/2018,,11/21/2016
1/28/2017,329-97-8926,1/9/2018,,4/26/2017
5/26/2017,531-48-3172,5/5/2018,7/24/2017,7/3/2017
8/8/2017,664-41-9135,7/1/2017,,12/10/2016
6/27/2017,448-67-4685,7/27/2018,,12/30/2016
1/22/2017,844-31-9007,12/5/2017,,12/6/2016
10/26/2016,890-99-1385,7/2/2018,,8/6/2017
4/22/2017,844-44-6859,11/4/2017,,7/1/2017
7/20/2017,511-91-4171,8/8/2017,,10/6/2016
2/9/2017,283-61-4977,2/21/2018,,11/4/2016
9/6/2016,183-75-5048,3/4/2018,,8/7/2017
4/17/2017,208-88-3098,4/15/2018,,4/30/2017
1/30/2017,663-58-2409,1/27/2018,,9/4/2016
11/29/2016,605-79-0766,7/28/2018,,7/13/2017
7/23/2017,192-88-8979,8/5/2018,,10/8/2016
10/18/2016,732-16-5332,2/7/2018,,7/26/2017
12/12/2016,301-54-5232,7/21/2018,,12/2/2016
2/14/2017,126-14-2237,5/25/2018,,11/30/2016
12/31/2016,192-29-5502,7/29/2018,,1/18/2017
9/29/2016,290-57-8288,11/4/2017,,12/12/2016
4/14/2017,562-51-6970,3/9/2018,,9/24/2016
3/24/2017,499-75-2244,5/15/2018,,2/23/2017
1/18/2017,635-60-8228,7/24/2017,,11/19/2016
11/25/2016,589-28-1920,7/11/2018,,11/22/2016
3/16/2017,448-68-6731,5/3/2018,,5/1/2017
4/8/2017,131-57-6262,4/27/2018,,9/18/2016
12/16/2016,445-22-0829,3/25/2018,,6/7/2017
6/18/2017,812-22-8928,8/29/2017,,8/22/2017
4/18/2017,670-38-2074,7/1/2017,,2/7/2017
3/9/2017,527-27-4164,7/4/2018,,3/25/2017
4/29/2017,239-67-6062,3/4/2018,,3/3/2017
10/12/2016,636-90-9172,7/14/2018,,9/1/2016
8/10/2017,626-88-0401,1/13/2018,,5/2/2017
12/1/2016,725-38-6098,6/7/2018,,11/13/2016
7/16/2017,885-41-0796,8/4/2017,,5/23/2017
3/20/2017,658-94-5546,8/10/2017,,11/7/2016
10/27/2016,723-40-9624,7/10/2018,,1/17/2017
9/5/2016,619-67-4968,3/20/2018,,5/15/2017
4/21/2017,572-73-1412,7/1/2018,,12/2/2016
7/6/2017,879-17-7439,4/11/2018,,6/12/2017
7/2/2017,500-36-6594,4/12/2018,,4/18/2017
1/4/2017,265-79-1676,2/10/2018,,6/14/2017
12/9/2016,527-12-7870,8/1/2018,,10/22/2016
2/26/2017,241-21-0122,1/3/2018,,7/28/2017
8/21/2017,668-11-1076,6/30/2018,,8/16/2017
6/10/2017,491-88-6582,12/16/2017,,1/6/2017
4/13/2017,484-56-0898,1/18/2018,,11/1/2016
4/27/2017,567-08-7715,10/25/2017,,10/14/2016
5/1/2017,831-83-0366,9/9/2017,,3/21/2017
6/12/2017,734-55-4010,7/22/2018,,11/24/2016
3/10/2017,828-31-8252,9/23/2017,,4/6/2017
11/29/2016,850-40-9468,1/23/2018,,1/2/2017
8/17/2017,451-44-9441,8/28/2017,,6/30/2017
3/2/2017,258-24-3314,1/3/2018,,5/31/2017
10/29/2016,719-35-5263,8/12/2017,,9/28/2016
4/28/2017,411-52-4601,9/11/2017,,4/18/2017
10/2/2016,318-43-1711,8/8/2017,,7/13/2017
6/16/2017,527-08-6473,7/8/2017,,7/15/2017
5/19/2017,313-12-2557,1/3/2018,,11/14/2016
1/6/2017,630-94-2444,7/11/2017,,9/12/2016
6/12/2017,880-69-7740,6/5/2018,,10/5/2016
3/21/2017,232-56-0899,7/26/2018,,7/15/2017
3/5/2017,282-54-5534,5/28/2018,,1/11/2017
10/26/2016,106-16-9653,8/10/2018,,5/19/2017
7/7/2017,425-60-6116,4/15/2018,,6/14/2017
4/23/2017,310-32-6828,7/13/2017,,6/16/2017
2/20/2017,293-85-0057,3/30/2018,,4/9/2017
1/18/2017,503-64-9531,7/10/2018,,7/27/2017
1/22/2017,484-62-0015,9/7/2017,,12/31/2016
9/27/2016,206-83-5105,8/5/2017,,11/1/2016
9/14/2016,742-12-6733,7/21/2018,,9/6/2016
3/29/2017,407-90-7120,10/23/2017,,9/14/2016
6/22/2017,323-62-3650,6/28/2017,,1/12/2017
12/30/2016,895-37-0903,1/26/2018,,2/7/2017
11/6/2016,395-91-6003,7/23/2018,,2/6/2017
6/7/2017,440-18-3656,9/10/2017,,6/17/2017
4/12/2017,375-45-0685,9/13/2017,,3/7/2017
2/11/2017,269-64-0780,3/15/2018,,6/25/2017
1/19/2017,469-71-7512,11/11/2017,,1/10/2017
5/3/2017,377-43-4791,12/15/2017,,4/7/2017
12/27/2016,513-68-2921,8/22/2018,,11/23/2016
3/20/2017,548-41-6540,2/9/2018,,5/10/2017
7/7/2017,783-04-3107,12/9/2017,,5/14/2017
11/24/2016,535-14-9081,7/12/2017,,9/19/2016
7/28/2017,379-59-3740,6/15/2018,,4/20/2017
5/15/2017,170-20-2751,4/5/2018,6/17/2017,4/9/2017
7/3/2017,510-70-2308,10/6/2017,,4/24/2017
7/3/2017,676-38-2392,6/15/2018,,2/28/2017
4/4/2017,332-90-3386,12/3/2017,,9/10/2016
2/1/2017,555-44-6700,12/5/2017,,4/17/2017
7/19/2017,381-84-6942,8/13/2018,,4/30/2017
8/15/2017,135-14-6817,8/21/2017,,6/12/2017
11/10/2016,251-19-2306,7/10/2017,,10/31/2016
9/24/2016,548-09-7441,2/3/2018,,7/9/2017
7/7/2017,650-58-1899,6/8/2018,,4/20/2017
8/27/2016,861-79-2486,2/22/2018,,6/22/2017
7/11/2017,663-42-1419,5/15/2018,,2/23/2017
11/29/2016,553-76-5601,6/14/2018,,11/17/2016
10/23/2016,507-46-8407,9/29/2017,,4/3/2017
12/15/2016,301-88-9223,12/6/2017,,2/3/2017
2/14/2017,622-58-4747,1/10/2018,,9/24/2016
5/25/2017,274-85-2878,6/11/2018,,10/3/2016
5/25/2017,522-89-4375,8/15/2018,,6/12/2017
1/2/2017,830-75-8637,3/1/2018,,8/11/2017
11/14/2016,499-85-4392,9/12/2017,,6/28/2017
6/26/2017,202-52-6088,12/24/2017,,2/5/2017
10/1/2016,791-23-1672,7/10/2017,,12/17/2016
8/19/2017,573-95-5131,6/27/2017,,10/31/2016
7/18/2017,302-94-9112,8/24/2017,,2/15/2017
4/13/2017,148-54-3394,9/19/2017,,1/8/2017
7/31/2017,567-72-1192,7/4/2017,,12/31/2016
12/14/2016,308-82-1506,4/28/2018,,4/6/2017
3/1/2017,107-84-1811,8/15/2017,,2/5/2017
5/4/2017,403-71-8725,12/10/2017,,4/12/2017
12/31/2016,602-16-0021,1/31/2018,,3/9/2017
8/14/2017,110-89-2364,9/1/2017,,7/20/2017
1/1/2017,680-42-7094,1/3/2018,,6/21/2017
9/22/2016,619-61-0419,11/17/2017,,8/5/2017
8/16/2017,237-85-2730,7/7/2018,2/25/2017,1/31/2017
5/9/2017,542-75-0006,7/8/2018,,6/10/2017
11/16/2016,231-86-1581,2/11/2018,,5/6/2017
3/24/2017,768-08-6262,1/8/2018,,1/30/2017
11/1/2016,377-05-7856,7/31/2018,,9/12/2016
6/24/2017,273-60-7374,8/19/2017,,3/31/2017
4/12/2017,319-36-6540,8/28/2017,,1/2/2017
4/20/2017,241-38-3379,12/30/2017,,11/4/2016
8/22/2017,332-12-3132,4/6/2018,,3/5/2017
6/21/2017,854-26-1615,10/19/2017,,8/16/2017
11/28/2016,387-35-9378,9/27/2017,,7/12/2017
12/6/2016,494-48-6041,3/12/2018,,6/14/2017
12/5/2016,691-34-9161,10/13/2017,,8/23/2017
10/2/2016,644-71-9833,8/18/2018,,4/10/2017
12/8/2016,877-91-7438,5/11/2018,,7/12/2017
2/22/2017,374-23-6281,11/24/2017,,4/11/2017
7/21/2017,855-26-6562,11/27/2017,,12/28/2016
10/20/2016,393-31-9852,5/16/2018,,2/12/2017
7/30/2017,454-43-1254,4/20/2018,,5/31/2017
10/12/2016,467-30-1194,1/16/2018,,11/18/2016
7/3/2017,514-13-1428,8/1/2017,,8/25/2016
2/13/2017,323-88-2304,5/2/2018,,12/24/2016
10/30/2016,817-91-9555,9/3/2017,,8/5/2017
2/8/2017,422-10-4131,7/13/2017,,1/6/2017
10/27/2016,564-05-6523,9/14/2017,,11/8/2016
1/9/2017,126-61-5292,11/14/2017,,12/9/2016
2/10/2017,418-14-7690,6/12/2018,,10/27/2016
9/13/2016,548-84-9833,10/7/2017,,1/3/2017
10/8/2016,821-04-2840,6/7/2018,,8/10/2017
10/27/2016,703-25-2700,10/25/2017,,5/21/2017
5/22/2017,337-25-6580,9/5/2017,,9/6/2016
12/8/2016,589-41-6973,9/8/2017,,1/23/2017
2/20/2017,131-07-9126,8/29/2017,,10/4/2016
9/23/2016,776-67-7191,12/17/2017,,2/10/2017
11/3/2016,457-62-4894,12/4/2017,,11/30/2016
8/2/2017,611-93-7687,6/30/2018,,10/20/2016
8/29/2016,485-24-5406,6/14/2018,,1/10/2017
3/12/2017,671-04-4255,6/24/2018,,9/4/2016
2/10/2017,321-34-7943,8/24/2017,,10/1/2016
3/19/2017,527-32-9774,12/24/2017,,11/28/2016
7/6/2017,392-73-5909,6/14/2018,,11/4/2016
7/24/2017,553-28-5581,8/25/2017,,8/12/2017
5/11/2017,454-04-2154,2/5/2018,,3/11/2017
12/13/2016,203-36-2714,9/2/2017,,1/22/2017
8/12/2017,778-67-7797,1/7/2018,,4/4/2017
11/19/2016,668-47-7956,12/15/2017,,7/8/2017
10/1/2016,376-93-4116,6/25/2018,,11/23/2016
2/26/2017,700-73-9087,9/3/2017,,7/16/2017
5/12/2017,281-05-5212,7/29/2018,,11/27/2016
11/15/2016,465-92-9443,4/10/2018,,7/9/2017
1/10/2017,691-81-8735,7/23/2018,,9/13/2016
11/14/2016,727-90-0666,6/21/2018,,9/2/2016
3/29/2017,536-68-5493,7/18/2017,,10/3/2016
11/17/2016,709-13-0629,8/18/2018,,2/15/2017
4/21/2017,527-86-3270,7/28/2017,,2/17/2017
10/10/2016,364-34-3990,3/16/2018,,7/14/2017
4/28/2017,273-02-0413,8/21/2017,,6/4/2017
11/27/2016,179-98-3166,10/24/2017,,10/10/2016
8/2/2017,482-91-2910,8/16/2018,,3/25/2017
10/28/2016,731-43-1548,9/25/2017,,12/3/2016
5/22/2017,743-32-4618,6/25/2017,,9/19/2016
5/23/2017,640-59-4988,8/9/2017,,1/29/2017
11/16/2016,601-13-9009,11/3/2017,,2/16/2017
3/28/2017,862-88-3522,12/19/2017,,7/26/2017
12/30/2016,789-68-7744,8/10/2017,,8/12/2017
5/9/2017,556-51-9449,2/2/2018,,9/26/2016
1/19/2017,216-29-7260,8/5/2018,,8/14/2017
12/21/2016,476-04-2249,12/15/2017,,4/5/2017
2/27/2017,822-31-1369,6/30/2018,,3/2/2017
3/24/2017,263-11-4942,6/11/2018,,2/13/2017
3/5/2017,120-85-3221,7/13/2018,,5/27/2017
7/9/2017,432-12-4497,7/16/2017,6/5/2017,7/16/2017
11/10/2016,107-80-7952,1/2/2018,,10/8/2016
6/13/2017,735-33-6176,9/28/2017,,11/6/2016
10/22/2016,533-73-6939,3/27/2018,,9/10/2016
3/23/2017,778-69-6935,1/20/2018,,2/15/2017
12/7/2016,245-93-3783,5/15/2018,,5/4/2017
9/10/2016,700-18-0194,6/29/2018,,8/8/2017
6/26/2017,793-19-2160,2/13/2018,,12/14/2016
7/14/2017,271-46-6690,6/7/2018,,2/14/2017
3/16/2017,699-68-9498,12/18/2017,,9/2/2016
8/26/2016,204-88-7338,4/27/2018,,10/20/2016
11/14/2016,502-66-7505,4/10/2018,,3/1/2017
5/27/2017,206-57-1432,4/30/2018,,12/1/2016
6/13/2017,883-36-5099,11/20/2017,,12/30/2016
4/7/2017,338-20-6260,9/5/2017,,5/15/2017
4/17/2017,722-14-4652,8/18/2017,,8/21/2017
1/27/2017,618-77-2224,5/4/2018,,6/1/2017
11/18/2016,347-47-7917,8/13/2017,,9/4/2016
9/17/2016,892-32-2515,5/15/2018,,4/4/2017
1/12/2017,381-33-1288,5/1/2018,,9/15/2016
2/21/2017,130-69-1174,7/31/2017,,10/7/2016
10/5/2016,401-68-0205,8/7/2018,,7/1/2017
2/5/2017,759-49-6545,3/19/2018,,9/13/2016
1/20/2017,104-97-2705,12/31/2017,,6/16/2017
11/10/2016,611-04-9070,10/5/2017,,3/17/2017
11/3/2016,199-34-7283,1/22/2018,,11/3/2016
5/23/2017,285-71-3832,11/9/2017,,9/1/2016
5/3/2017,572-90-2492,4/9/2018,,5/8/2017
5/15/2017,138-24-8874,7/17/2018,,9/17/2016
12/19/2016,455-54-9670,12/19/2017,,4/11/2017
10/16/2016,542-28-5100,6/28/2017,,9/1/2016
1/18/2017,458-65-3555,3/2/2018,,4/8/2017
3/29/2017,681-41-8471,12/2/2017,,1/28/2017
11/23/2016,288-78-8748,10/20/2017,,6/1/2017
4/30/2017,350-26-5998,1/11/2018,,3/17/2017
7/8/2017,277-02-9129,7/31/2017,,11/8/2016
9/20/2016,353-81-0231,12/22/2017,,8/15/2017
5/12/2017,228-30-0953,1/28/2018,,11/20/2016
6/28/2017,192-20-9488,7/3/2017,,11/14/2016
8/1/2017,479-19-5027,8/6/2017,,5/27/2017
2/1/2017,236-44-8042,8/8/2017,,8/11/2017
4/7/2017,827-84-5455,12/3/2017,,2/19/2017
2/19/2017,714-23-5390,6/3/2018,,7/18/2017
10/12/2016,416-47-6287,8/20/2017,,7/22/2017
8/21/2017,206-03-5839,10/29/2017,,11/29/2016
12/10/2016,191-30-2412,10/5/2017,,5/23/2017
3/3/2017,803-99-7152,7/31/2017,,10/26/2016
1/31/2017,255-92-3811,9/25/2017,,8/28/2016
10/2/2016,360-27-1480,9/18/2017,,11/3/2016
9/4/2016,127-76-1208,4/11/2018,,11/1/2016
12/9/2016,569-55-9238,9/14/2017,,4/5/2017
1/22/2017,679-95-3031,7/29/2017,,3/5/2017
3/19/2017,656-22-1269,10/6/2017,,1/23/2017
5/5/2017,468-98-7816,8/14/2018,,7/1/2017
2/16/2017,557-63-8229,8/20/2017,,2/23/2017
11/25/2016,717-65-1405,9/17/2017,,3/24/2017
4/14/2017,875-33-8846,8/13/2017,,1/25/2017
1/26/2017,769-57-9382,8/22/2017,1/11/2017,3/14/2017
7/16/2017,114-60-8231,8/25/2017,,7/6/2017
12/24/2016,674-99-3110,10/14/2017,,1/4/2017
11/4/2016,166-68-5689,4/10/2018,,9/15/2016
4/19/2017,333-33-0742,12/20/2017,,3/17/2017
1/25/2017,688-37-6654,7/24/2017,,3/5/2017
6/18/2017,328-98-9033,3/16/2018,,6/26/2017
8/27/2016,869-03-8807,5/1/2018,,7/16/2017
5/18/2017,590-91-4737,10/29/2017,4/2/2017,6/13/2017
1/20/2017,480-32-2108,10/2/2017,,4/9/2017
10/26/2016,516-84-5943,2/8/2018,,6/24/2017
10/26/2016,342-67-6461,3/21/2018,,9/27/2016
10/23/2016,899-64-4405,10/26/2017,,9/8/2016
1/2/2017,287-07-6777,5/3/2018,,12/20/2016
10/1/2016,353-08-9297,8/10/2017,,1/2/2017
3/13/2017,705-31-0355,6/7/2018,,11/15/2016
11/29/2016,656-06-6649,7/18/2017,,7/3/2017
8/8/2017,207-98-2537,8/4/2018,,12/26/2016
4/30/2017,372-46-2450,11/12/2017,,11/3/2016
6/30/2017,224-61-8311,2/3/2018,,8/3/2017
10/30/2016,842-05-2782,4/29/2018,,1/15/2017
4/28/2017,665-20-3779,7/18/2017,,6/20/2017
10/15/2016,579-86-3186,2/25/2018,,2/10/2017
6/23/2017,159-72-5973,2/9/2018,,9/8/2016
1/28/2017,743-83-4108,8/31/2017,,10/16/2016
4/25/2017,501-28-7651,1/29/2018,,1/19/2017
3/24/2017,726-74-4968,8/22/2017,,12/13/2016
2/9/2017,710-11-7339,7/23/2017,,12/14/2016
3/24/2017,818-78-2959,9/4/2017,,4/21/2017
6/21/2017,890-91-8642,6/23/2018,,2/15/2017
1/22/2017,353-03-1829,7/5/2017,,7/19/2017
2/14/2017,536-31-7972,5/24/2018,,8/23/2017
12/28/2016,304-41-8775,10/11/2017,,1/27/2017
10/26/2016,549-15-6115,8/19/2017,,12/5/2016
6/3/2017,605-32-5674,3/6/2018,,5/21/2017
4/25/2017,163-64-3186,12/7/2017,,10/31/2016
10/28/2016,540-62-8616,3/8/2018,,2/25/2017
3/3/2017,314-76-2318,4/28/2018,,4/4/2017
2/15/2017,688-50-8820,4/15/2018,,4/28/2017
9/7/2016,447-02-3678,8/18/2018,,3/4/2017
12/31/2016,471-44-4246,1/26/2018,,6/16/2017
4/14/2017,141-44-2503,8/13/2017,,9/22/2016
12/6/2016,420-51-8340,7/3/2017,,12/15/2016
5/10/2017,259-33-3960,8/30/2017,,2/20/2017
1/13/2017,250-91-5632,7/11/2018,,5/22/2017
3/15/2017,551-12-4488,8/9/2018,,10/26/2016
11/25/2016,461-52-3874,8/14/2018,,6/11/2017
10/17/2016,711-77-9747,11/18/2017,,12/24/2016
10/28/2016,448-04-9277,12/23/2017,,10/31/2016
11/4/2016,416-78-8912,9/29/2017,,8/18/2017
5/9/2017,392-72-6264,1/18/2018,,4/22/2017
2/6/2017,693-87-2835,11/18/2017,,3/5/2017
10/13/2016,806-02-6511,12/17/2017,,12/6/2016
2/7/2017,297-26-7735,8/26/2017,,2/28/2017
4/8/2017,428-19-7955,4/27/2018,,11/21/2016
1/11/2017,639-63-0832,7/26/2018,,8/29/2016
3/30/2017,382-06-0178,5/12/2018,,5/20/2017
5/27/2017,471-52-7528,11/16/2017,,12/23/2016
10/31/2016,187-19-2046,9/9/2017,,12/31/2016
12/19/2016,211-81-6407,2/18/2018,,7/12/2017
1/13/2017,779-07-3713,10/23/2017,,11/10/2016
6/16/2017,701-42-2284,9/29/2017,,9/16/2016
6/8/2017,616-10-1567,3/19/2018,,5/11/2017
6/23/2017,430-47-7552,1/5/2018,,10/20/2016
4/12/2017,696-55-4023,3/22/2018,,3/1/2017
9/21/2016,250-57-0102,8/18/2018,,11/15/2016
1/28/2017,406-22-9948,7/21/2017,,1/23/2017
10/27/2016,577-53-5865,12/27/2017,,11/28/2016
9/17/2016,732-05-2614,11/5/2017,,7/23/2017
5/24/2017,103-99-7382,4/9/2018,,4/14/2017
1/31/2017,637-59-7023,9/21/2017,,1/1/2017
6/26/2017,294-26-5099,1/6/2018,,7/8/2017
3/19/2017,177-74-6843,8/15/2017,,5/19/2017
11/16/2016,662-93-4858,8/16/2018,,8/8/2017
7/29/2017,555-42-6592,12/10/2017,,6/18/2017
3/29/2017,362-64-8226,2/15/2018,,4/22/2017
9/7/2016,132-76-9250,7/3/2018,,4/20/2017
4/28/2017,879-65-4671,4/25/2018,,6/5/2017
10/12/2016,732-92-5641,4/8/2018,,8/25/2016
11/28/2016,269-16-6070,11/2/2017,,11/9/2016
9/26/2016,747-26-5626,8/18/2017,,8/6/2017
7/5/2017,861-70-3178,5/22/2018,,8/16/2017
7/12/2017,663-76-6586,6/28/2017,,11/27/2016
7/25/2017,404-05-6523,6/14/2018,,8/6/2017
5/29/2017,694-25-9293,6/12/2018,,7/8/2017
2/1/2017,844-78-8879,9/12/2017,,4/24/2017
3/17/2017,429-55-4591,8/19/2017,,1/3/2017
2/5/2017,184-74-6553,5/13/2018,,7/19/2017
9/25/2016,288-16-4825,7/7/2017,,11/10/2016
7/19/2017,531-94-9958,6/14/2018,,5/31/2017
1/22/2017,392-98-0467,1/23/2018,,2/22/2017
11/6/2016,738-64-6452,12/28/2017,,10/17/2016
10/24/2016,232-64-9488,5/25/2018,,10/30/2016
7/15/2017,429-86-0677,1/5/2018,,7/18/2017
11/24/2016,653-80-7245,6/14/2018,,9/11/2016
3/31/2017,243-66-6638,6/6/2018,,8/17/2017
9/20/2016,463-40-7691,4/12/2018,,5/27/2017
2/11/2017,126-79-7416,9/15/2017,,11/11/2016
9/16/2016,173-79-5982,6/15/2018,,9/2/2016
1/14/2017,396-08-1882,9/18/2017,,10/5/2016
1/13/2017,886-76-0087,10/26/2017,,8/4/2017
11/3/2016,694-88-3999,7/9/2018,,5/29/2017
12/17/2016,705-77-3626,6/25/2017,3/14/2017,1/23/2017
3/9/2017,540-85-4371,6/29/2018,,4/27/2017
9/7/2016,679-33-6738,4/27/2018,,2/13/2017
8/5/2017,692-20-0088,2/20/2018,,2/15/2017
12/10/2016,668-67-4551,7/17/2018,,10/12/2016
11/1/2016,809-21-8568,4/27/2018,,2/9/2017
7/20/2017,786-29-1816,1/4/2018,,1/3/2017
10/29/2016,690-68-9305,11/30/2017,,4/12/2017
1/18/2017,257-16-0452,6/15/2018,,9/3/2016
10/5/2016,310-74-1174,11/3/2017,,8/13/2017
6/20/2017,176-36-5567,6/19/2018,,1/4/2017
11/27/2016,292-53-4887,6/18/2018,,2/4/2017
3/19/2017,401-39-4560,10/2/2017,,2/16/2017
12/14/2016,255-76-9775,2/26/2018,,2/14/2017
5/22/2017,633-22-8877,8/12/2018,,9/30/2016
4/11/2017,860-54-0044,1/4/2018,,10/1/2016
2/27/2017,585-49-9902,6/27/2017,,8/1/2017
9/26/2016,810-17-9793,8/20/2017,,3/17/2017
